Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Status
0001-6977,ACTA SOCIETATIS BOTANICORUM POLONIAE,9.54925E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2011,ACTIVE
0001-706X,Acta tropica,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1989,ACTIVE
0002-8444,American Fern Journal,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1910-2017,ACTIVE
0002-8487,Transactions of the American Fisheries Society,9.54925E+11,4.1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2011-2013,ACTIVE
0002-9122,American Journal of Botany,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1914-2015,ACTIVE
0003-3472,Animal behaviour,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1958,ACTIVE
0003-4088,Annales de Limnologie = International Journal of Limnology,9.54925E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,-2011,ACTIVE
0003-6862,Applied Entomology and Zoology,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2011,ACTIVE
0005-1098,Automatica (Oxford),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1963,ACTIVE
0006-3088,Biologia,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2006,ACTIVE
0006-3185,Biological Bulletin,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1899-2015,ACTIVE
0006-3207,Biological conservation,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1968,ACTIVE
0007-4853,Bulletin of Entomological Research,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1999,ACTIVE
0008-3976,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0008-4271,Canadian Journal of Soil Science,9.54925E+11,1.11083E+14,Canadian Science Publishing (NRC Research Press) Current,getFullTxt,1957-2012,ACTIVE
0010-4159,Comparative Politics,9.54925E+11,1.11025E+14,JSTOR Arts and Sciences II,getFullTxt,1968-2019,ACTIVE
0010-4620,The Computer Journal,9.54925E+11,4.33E+15,CRKN Oxford University Press Current,getFullTxt,-1996,ACTIVE
0011-3891,Current Science,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2006,ACTIVE
0011-9164,Desalination (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1966,ACTIVE
0012-8252,Earth-science reviews,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1966,ACTIVE
0013-8703,Entomologia Experimentalis et Applicata,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0013-9351,"Environmental research (New York, N.Y. Print)",9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0014-0015,Erdkunde,1.10986E+14,2.67E+15,JSTOR Arts and Sciences IX,getFullTxt,1947-2019,ACTIVE
0014-3065,Potato Research,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0014-4797,Experimental Agriculture,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1997,ACTIVE
0016-3287,Futures (London),9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1969,ACTIVE
0016-6480,General and comparative endocrinology,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1962,ACTIVE
0016-7061,Geoderma (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0016-7185,Geoforum,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1970,ACTIVE
0016-7223,Geografisk Tidsskrift,1.10986E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0016-7622,Journal of the Geological Society of India,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2009,ACTIVE
0016-7878,Proceedings of the Geologists' Association,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1859,ACTIVE
0017-467X,Ground Water,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0018-7259,Human Organization,9.54921E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,-1996,ACTIVE
0019-1019,Ibis,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0020-7128,International Journal of Biometeorology,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0020-7519,International Journal for Parasitology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1971,ACTIVE
0021-857X,Journal of Agricultural Economics,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0021-8596,Journal of Agricultural Science,9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1997,ACTIVE
0022-0981,Journal of experimental marine biology and ecology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0022-1112,Journal of Fish Biology,9.54923E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0022-1694,Journal of hydrology (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1963,ACTIVE
0022-1910,Journal of insect physiology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1957,ACTIVE
0022-2011,Journal of invertebrate pathology,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1965,ACTIVE
0022-2380,Journal of Management Studies,9.54921E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0022-247X,Journal of mathematical analysis and applications,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1960,ACTIVE
0022-300X,Journal of nematology,9.54925E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2015,ACTIVE
0022-409X,Journal of Range Management,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1948-2004,ACTIVE
0022-5142,Journal of the Science of Food and Agriculture,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1996,ACTIVE
0022-5193,Journal of theoretical biology,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1961,ACTIVE
0022-8567,Journal of the Kansas Entomological Society,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1928-2017,ACTIVE
0025-3154,Journal of the Marine Biological Association of the United Kingdom UK (JMBA),9.54925E+11,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-1999,ACTIVE
0025-326X,Marine pollution bulletin,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1970,ACTIVE
0025-5564,Mathematical biosciences,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0027-5514,Mycologia,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1909-2013,ACTIVE
0027-8424,Proceedings of the National Academy of Sciences of the United States of America,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1915-2018,ACTIVE
0028-1042,The Science of Nature - Naturwissenschaften,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0030-5685,Ornis Fennica,9.54925E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2012,ACTIVE
0030-7270,Outlook on Agriculture,9.54925E+11,3.78E+15,Sage CRKN Collection,getFullTxt,-1999,ACTIVE
0031-0182,"Palaeogeography, palaeoclimatology, palaeoecology",9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1965,ACTIVE
0031-4056,"Pedobiologia (Jena, Print)",9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2000,ACTIVE
0031-9384,Physiology & behavior,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1966,ACTIVE
0032-2474,Polar Record,1.10976E+14,3.24E+15,CRKN Cambridge University Press Journals,getFullTxt,-2003,ACTIVE
0032-8332,Primates,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0034-4257,Remote sensing of environment,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1969,ACTIVE
0034-6667,Review of palaeobotany and palynology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0034-7744,Revista de Biología Tropical,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2010,ACTIVE
0035-4902,Rhodora,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,2009-2021,ACTIVE
0038-0717,Soil biology & biochemistry,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1969,ACTIVE
0038-1969,The South African Archaeological Bulletin,9.54925E+11,1E+15,JSTOR Arts and Sciences VII,getFullTxt,1945-2019,ACTIVE
0040-5752,TAG Theoretical and Applied Genetics,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0040-5809,Theoretical population biology,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1970,ACTIVE
0043-1354,Water research (Oxford),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1967,ACTIVE
0044-5231,Zoologischer Anzeiger,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-2001,ACTIVE
0044-8435,Apidologie,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2007,ACTIVE
0044-8486,Aquaculture (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1972,ACTIVE
0045-6535,Chemosphere,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1972,ACTIVE
0046-5070,Freshwater Biology,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0047-2425,Journal of Environmental Quality,9.54925E+11,2.55E+15,Public Health Database,getFullTxt,1997-2015,ACTIVE
0048-7333,Research policy,9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1971,ACTIVE
0048-9697,Science of the total environment,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1972,ACTIVE
0067-1924,Australian journal of botany,9.54925E+11,3.71E+15,EBSCOhost Environment Complete,getFullTxt,-2015,ACTIVE
0075-9511,Limnologica (Jena),1.10976E+14,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1999,ACTIVE
0079-6611,Progress in Oceanography,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1963,ACTIVE
0091-7613,Geology,9.54925E+11,1E+15,Ejournal Publishers,getFullTxt,-1973,ACTIVE
0092-8240,Bulletin of Mathematical Biology,9.54923E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0093-691X,Theriogenology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1974,ACTIVE
0094-8276,Geophysical Research Letters,9.54925E+11,3.79E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0095-0696,Journal of environmental economics and management,9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1974,ACTIVE
0098-3004,Computers & geosciences,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
0100-8404,Brazilian Journal of Botany,1.10979E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2013,ACTIVE
0101-8205,Computational and Applied Mathematics,1E+15,1E+15,EBSCOhost Computers and Applied Sciences Complete,getFullTxt,2005-2020,ACTIVE
0110-6465,New Zealand Journal of Ecology,9.54925E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2014,ACTIVE
0128-7702,Pertanika journal of social science & humanities,1.10979E+14,1E+15,EBSCOhost Humanities International Complete,getFullTxt,-2007,ACTIVE
0133-3720,Cereal Research Communications,9.54925E+11,4.1E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0137-1592,ACTA ICHTHYOLOGICA ET PISCATORIA,1.10976E+14,1E+15,EBSCOhost Environment Complete,getFullTxt,-2009,ACTIVE
0137-5881,Acta Physiologiae Plantarum,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0139-7893,Folia Zoologica,9.54925E+11,2.56E+15,EBSCOhost Academic Search Complete,getFullTxt,2011-2019,ACTIVE
0140-1963,Journal of arid environments,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1978,ACTIVE
0140-9883,Energy Economics,9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1979,ACTIVE
0141-1136,Marine environmental research,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1978,ACTIVE
0141-6707,African Journal of Ecology,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0142-6397,Landscape Research,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0143-6228,Applied geography (Sevenoaks),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1981,ACTIVE
0144-8609,Aquacultural engineering,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0147-6513,Ecotoxicology and environmental safety,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1977,ACTIVE
0160-4120,Environment international,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1978,ACTIVE
0160-8347,Estuaries,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1978-2005,ACTIVE
0163-4275,Environmental Ethics,9.54925E+11,2.55E+15,EBSCOhost Environment Complete,getFullTxt,-2013,ACTIVE
0165-232X,Cold regions science and technology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1979,ACTIVE
0165-7380,Veterinary Research Communications,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0165-7836,Fisheries research,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1981,ACTIVE
0166-445X,Aquatic toxicology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1981,ACTIVE
0167-1987,Soil & tillage research,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1980,ACTIVE
0167-5877,Preventive veterinary medicine,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0167-7012,Journal of microbiological methods,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0167-7322,Journal of molecular liquids,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0167-7799,Trends in biotechnology (Regular ed.),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0167-8809,"Agriculture, ecosystems & environment",9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0168-1591,Applied animal behaviour science,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1984,ACTIVE
0168-1699,Computers and electronics in agriculture,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1985,ACTIVE
0168-1702,Virus research,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1984,ACTIVE
0168-1923,Agricultural and forest meteorology,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1984,ACTIVE
0169-2046,Landscape and urban planning,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1986,ACTIVE
0169-3298,Surveys in Geophysics,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0169-5150,Agricultural economics,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-2000,ACTIVE
0169-5347,Trends in ecology & evolution (Regular ed. Print),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1986,ACTIVE
0169-555X,Geomorphology (Amsterdam),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1987,ACTIVE
0169-8095,Atmospheric research,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1986,ACTIVE
0175-8659,Journal of Applied Ichthyology,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0185-3880,Ciencias marinas,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,-1994,ACTIVE
0195-9255,Environmental impact assessment review,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1980,ACTIVE
0196-2892,IEEE Transactions on Geoscience and Remote Sensing,9.54925E+11,3.86E+15,IEEE Electronic Library (IEL),getFullTxt,-1980,ACTIVE
0196-8904,Energy conversion and management,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1980,ACTIVE
0197-3975,Habitat international,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1976,ACTIVE
0198-9715,"Computers, environment and urban systems",9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1980,ACTIVE
0209-4541,Oxidation communications,9.54929E+11,3.85E+15,EBSCOhost Academic Search Complete,getFullTxt,-2015,ACTIVE
0218-3390,Journal of biological systems,9.74747E+11,4.1E+15,EBSCOhost Environment Complete,getFullTxt,1999-2020,ACTIVE
0233-111X,Journal of Basic Microbiology,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1998,ACTIVE
0250-0167,Communicatio,1.10979E+14,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0250-541X,National Academy Science Letters,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2012,ACTIVE
0250-8060,Water international,9.54929E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0253-505X,Acta Oceanologica Sinica,1.10976E+14,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-2010,ACTIVE
0254-6299,South African journal of botany,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0255-965X,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,1E+15,1E+15,EBSCOhost Academic Search Complete,getFullTxt,-2007,ACTIVE
0256-1530,Advances in Atmospheric Sciences,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0258-7203,South African journal on human rights,1.10979E+14,3.71E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,ACTIVE
0261-2194,Crop protection,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0261-5177,Tourism management (1982),9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0262-6667,Hydrological sciences journal,9.54925E+11,2.67E+15,EBSCOhost Academic Search Complete,getFullTxt,2010-2020,ACTIVE
0263-774X,Environment and planning C Government and policy,9.54925E+11,3.72E+15,Sage CRKN Collection,getFullTxt,1999-2016,ACTIVE
0264-2751,Cities,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1983,ACTIVE
0264-8377,Land use policy,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1984,ACTIVE
0265-5012,IDS Bulletin,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2006-2015,ACTIVE
0265-8135,Environment and planning B Planning and design,9.54925E+11,3.72E+15,Sage CRKN Collection,getFullTxt,1999-2016,ACTIVE
0265-931X,Journal of environmental radioactivity,9.54925E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1984,ACTIVE
0266-0032,Soil Use and Management,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,ACTIVE
0268-2575,Journal of Chemical Technology and Biotechnology,9.54926E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1996,ACTIVE
0269-7491,Environmental pollution (1987),9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1987,ACTIVE
0270-5060,Journal of freshwater ecology,9.54926E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,-2006,ACTIVE
0272-7714,"Estuarine, coastal and shelf science",9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1981,ACTIVE
0273-1177,Advances in space research,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1981,ACTIVE
0275-5947,North American journal of fisheries management,1.10976E+14,4.1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2011-2013,ACTIVE
0276-9948,University of Illinois law review,9.54926E+11,3.79E+15,Nexis Uni,getFullTxt,-1982,ACTIVE
0277-3791,Quaternary science reviews,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0278-4319,International journal of hospitality management,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0278-4343,Continental shelf research,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1982,ACTIVE
0289-0003,Zoological Science,9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2000-2003,ACTIVE
0301-4207,Resources policy,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1974,ACTIVE
0301-4215,Energy policy,9.54921E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1973,ACTIVE
0301-4797,Journal of environmental management,9.54923E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1990,ACTIVE
0301-4851,Molecular Biology Reports,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0303-2434,International journal of applied earth observation and geoinformation,9.5848E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1999,ACTIVE
0303-6758,Journal of the Royal Society of New Zealand,9.54926E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2006-2020,ACTIVE
0303-6812,Journal of Mathematical Biology,9.54926E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,ACTIVE
0304-3770,Aquatic botany,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
0304-3800,Ecological modelling,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
0304-3894,Journal of hazardous materials,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
0304-4017,Veterinary parasitology,9.54926E+11,2.56E+15,Elsevier ScienceDirect Journals Complete,getFullTxt,-1975,ACTIVE
